feature_name,feature_present,cad_size_px,measured_size_px,deviation_px,tolerance_px,status,unit
#1 hole,YES,16.0,16.0,0.0,2.0,PASS,px (radius)
#1 hole_dia,YES,32.0,32.0,0.0,4.0,PASS,px (diameter)
#2 hole,YES,16.0,16.0,0.0,2.0,PASS,px (radius)
#2 hole_dia,YES,32.0,32.0,0.0,4.0,PASS,px (diameter)
#3 rect cutout_width,YES,138.34,140.0,1.66,5.0,PASS,px
#3 rect cutout_height,YES,138.34,140.0,1.66,5.0,PASS,px
overall_width,YES,269.67,269.67,0.0,10.0,PASS,px
overall_height,YES,449.45,449.45,0.0,10.0,PASS,px
spacing_#1 hole_to_#2 hole,NO,31.71,171.0,139.29,5.0,FAIL,px
